,,,,,,,,,,,,,"Note : We are showing the text value in the csv because we got the some of the questions choice are updated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","{{Q://Q3/ChoiceTextEntryValue}}","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}","{{Q://Q6/ChoiceTextEntryValue}}","{{Q://Q7/ChoiceTextEntryValue}}","{{Q://Q8/ChoiceTextEntryValue}}","{{Q://Q9/ChoiceTextEntryValue}}","{{Q://Q10/ChoiceTextEntryValue}}","{{Q://Q11/ChoiceTextEntryValue}}","{{Q://Q12/ChoiceTextEntryValue}}","{{Q://Q13/ChoiceTextEntryValue}}","{{Q://Q14/ChoiceTextEntryValue}}","{{Q://Q15/ChoiceTextEntryValue}}","{{Q://Q16/ChoiceTextEntryValue}}","{{Q://Q17/ChoiceTextEntryValue}}","{{Q://Q18/ChoiceTextEntryValue}}","{{Q://Q19/ChoiceTextEntryValue}}","{{Q://Q20/ChoiceTextEntryValue}}","{{Q://Q21/ChoiceTextEntryValue}}","{{Q://Q22/ChoiceTextEntryValue}}","{{Q://Q23/ChoiceTextEntryValue}}","{{Q://Q24/ChoiceTextEntryValue}}","{{Q://Q25/ChoiceTextEntryValue}}","{{Q://Q26/ChoiceTextEntryValue}}","{{Q://Q27/ChoiceTextEntryValue}}","{{Q://Q28/ChoiceTextEntryValue}}","{{Q://Q29/ChoiceTextEntryValue}}","{{Q://Q30/ChoiceTextEntryValue}}","{{Q://Q31/ChoiceTextEntryValue}}"
,,,,,,,,,,,,,"Question Text","Please enter your Participant ID (i.e., 2000):","Answer the next following questions reflecting from the whole day.","I felt fatigued today.","I had trouble starting things today because I was tired.","How run-down did you feel on average today?","On average, how fatigued were you today?","On average, how much were you bothered by your fatigue?","To what degree did your fatigue interfere with your physical functioning? ","How often did you have to push yourself to get things done because of your fatigue?","How often did you have trouble finishing things because of your fatigue?","Other than your family how many persons in your local area do you feel you can depend on or feel close to?","How many times today did you spend with someone who does not live with you, that is, you went to see them, or they came to visit you, or you went out together?","How many times did you talk to someone (friends, relatives or others) on the telephone today (either they called you, or your called them)?","About how many times did you go to meetings of clubs, religious meetings, or other groups that you belong to today?","Does it seem that your family and friends (people who are important to you understand you?","Do you feel useful to your family (people important to you)?","Do you feel useful (people important to you)?","Do you know what is going on with your family and friends? ","When you are talking to your family and friends, do you feel you are being listened to?","Do you feel you have a definite role (place) in your family and among your friends? ","Can you talk about your deepest problems with at least some of your family and friends?","How satisfied are your with the kinds of relationships you have with your family and friends? ","My mind was sharp as usual today.","My memory was as good as usual today.","My thinking was as fast as usual today.","I was able to keep track of what I was doing today even if I was interrupted.","I was able to concentrate today.","I was able to think clearly today without extra effort.","I was able to pay attention and keep track of what I was doing today without extra effort.","I have been able to remember things as easily as usual without extra effort.","Was today a typical day for you? (Select NO if you were either traveling long distances, sick in bed, or anything else that prevented you from your usual way of living, etc.) ​"
,,,,,,,,,,,,,"Response Type","Text","Instruction","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices",,,"[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somehwat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat ' 4 = 'Quite a bit' 5 = 'Very Much '  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit ' 3 = 'Somewhat ' 4 = 'Quite a bit' 5 = 'Very much '  ]","[ 1 = 'Not at all' 2 = 'A little bit ' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'None' 2 = '1-2 people' 3 = 'More than 2 people'  ]","[ 1 = 'None' 2 = 'Once' 3 = 'Twice' 4 = 'Three times' 5 = 'Four or more times'  ]","[ 1 = 'None' 2 = 'Twice ' 3 = 'Once' 4 = 'Twice ' 5 = 'Three times ' 6 = 'Four or more times'  ]","[ 1 = 'None' 2 = 'Once' 3 = 'Twice' 4 = 'Three times' 5 = 'Four or more times'  ]","[ 1 = 'Hardly ever ' 2 = 'Some of the time' 3 = 'Most of the time '  ]","[ 1 = 'Hardly ever' 2 = 'Some of the time' 3 = 'Most of the time'  ]","[ 1 = 'Hardly ever ' 2 = 'Some of the time ' 3 = 'Most of the time '  ]","[ 1 = 'Hardly ever ' 2 = 'Some of the time ' 3 = 'Most of the time'  ]","[ 1 = 'Hardly' 2 = 'Some of the time ' 3 = 'Most of the time '  ]","[ 1 = 'Hardly ever ' 2 = 'Some of time ' 3 = 'Most of the time'  ]","[ 1 = 'Hardly ever ' 2 = 'Some of the time ' 3 = 'Most of the time '  ]","[ 1 = 'Very dissatisfied ' 2 = 'Somewhat dissatisfied ' 3 = 'Satisfied '  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit ' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit ' 3 = 'Somewhat ' 4 = 'Quite a bit' 5 = 'Very Much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very Much'  ]","[ 1 = 'Not at all' 2 = 'A little bit ' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very Much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very Much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Yes' 2 = 'No'  ]"
"11/16/2023 01:21AM","11/16/2023 01:27AM","11/15/2023 03:19PM - 01/01/2026 09:59AM",368.551,"1","1","Finished","6553dd4448ac57641b9a8f75",,,"no","-","192.168.1.33","Participant 2","2001",,2,1,2,2,1,1,2,1,2,2,2,3,2,2,3,2,2,3,2,3,3,3,3,3,4,4,4,3,1
"11/20/2023 02:03AM","11/20/2023 02:11AM","11/15/2023 03:19PM - 01/01/2026 09:59AM",467.475,"1","1","Finished","6553dd4448ac57641b9a8f75",,,"no","-","192.168.1.33","Participant 2","2001",,1,1,1,2,1,1,1,1,2,2,4,1,3,3,2,2,2,3,3,3,4,4,4,4,4,4,4,4,1
"11/21/2023 01:54AM","11/21/2023 02:00AM","11/15/2023 03:19PM - 01/01/2026 09:59AM",375.352,"1","1","Finished","6553dd4448ac57641b9a8f75",,,"no","-","192.168.1.33","Participant 2","2001",,3,3,3,2,2,3,2,4,2,3,5,2,2,"",3,2,2,2,2,2,3,3,3,4,3,3,3,"",1
"11/22/2023 04:48AM","11/22/2023 04:54AM","11/15/2023 03:19PM - 01/01/2026 09:59AM",379.15,"1","1","Finished","6553dd4448ac57641b9a8f75",,,"no","-","192.168.1.33","Participant 2","2001",,1,1,3,3,1,1,2,4,2,2,5,1,3,3,3,2,1,3,1,2,4,3,2,2,1,3,2,2,2
"11/24/2023 12:36AM","11/24/2023 12:42AM","11/15/2023 03:19PM - 01/01/2026 09:59AM",391.707,"1","1","Finished","6553dd4448ac57641b9a8f75",,,"no","-","192.168.0.154","Participant 2","2001",,1,1,2,2,1,3,3,1,1,5,5,1,2,3,3,2,2,3,1,2,4,4,3,3,3,4,4,3,2
