,,,,,,,,,,,,,"Note : We are showing the text value in the csv because we got the some of the questions choice are updated",,,,,,,,,,
,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","{{Q://Q3/ChoiceTextEntryValue}}","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}","{{Q://Q6/ChoiceTextEntryValue}}","{{Q://Q7/ChoiceTextEntryValue}}","{{Q://Q8/ChoiceTextEntryValue}}","{{Q://Q9/ChoiceTextEntryValue}}","{{Q://Q10/ChoiceTextEntryValue}}"
,,,,,,,,,,,,,"Question Text","Please enter your Participant ID (i.e., 2000):","Answer the next following questions by reflecting from the night before to waking up this morning.","Approximately what time did you go to bed last night? (i.e., 10PM)","Approximately what time did you wake up this morning? (i.e., 7AM)","Last night my sleep was restful.","Last night my sleep was restless.","My sleep quality was...","Last night I got enough sleep.","It was easy for me to fall asleep.","Last night I had trouble sleeping."
,,,,,,,,,,,,,"Response Type","Text","Instruction","Text","Text","Single selection","Single selection","Single selection","Single selection","Single selection","Single selection"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices",,,,,"[ 1 = 'Not at all' 2 = 'A little bit ' 3 = 'Somewhat' 4 = 'Quite a bit ' 5 = 'Very much '  ]","[ 1 = 'Not at all' 2 = 'A little bit ' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much '  ]","[ 1 = 'Very poor' 2 = 'Poor' 3 = 'Fair' 4 = 'Good' 5 = 'Very good'  ]","[ 1 = 'Never ' 2 = 'Rarely' 3 = 'Sometimes' 4 = 'Often ' 5 = 'Always '  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]","[ 1 = 'Not at all' 2 = 'A little bit' 3 = 'Somewhat' 4 = 'Quite a bit' 5 = 'Very much'  ]"
"12/13/2023 07:27AM","12/13/2023 07:29AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",105.777,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1",,,"11pm","630am",3,2,3,2,3,3
"12/14/2023 07:05AM","12/14/2023 07:06AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",59.661,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1",,,"1130 pm","6 am",4,1,4,2,2,1
"12/15/2023 04:38PM","12/15/2023 04:40PM","12/12/2023 10:50AM - 12/12/2025 09:59AM",90.171,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1",,,"1040 pm","730 am",4,1,3,2,4,1
"12/16/2023 04:53AM","12/16/2023 04:54AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",76.569,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1",,,"10 pm","4 am",1,4,2,1,5,4
"12/17/2023 07:23AM","12/17/2023 07:24AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",57.373,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1",,,"1230am","645 am",4,1,4,2,"",1
"12/18/2023 11:38AM","12/18/2023 11:39AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",64.229,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1",,,"11pn","8am",1,4,2,3,3,4
"12/19/2023 06:43AM","12/19/2023 06:45AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",102.076,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1",,,"1238 am","640am",4,1,4,1,3,2
"12/24/2023 09:01AM","12/24/2023 09:02AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",70.433,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.214.16","Participant 1","2007",,"1230 am","830 am",4,1,4,4,1,3
"12/25/2023 03:16PM","12/25/2023 03:22PM","12/12/2023 10:50AM - 12/12/2025 09:59AM",381.141,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.167.233.242","Participant 1","2007",,"930","930 am",5,1,5,5,5,1
"12/26/2023 09:15AM","12/26/2023 09:17AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",104.73,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.167.233.242","Participant 1","2007",,"1030","8am",1,4,2,2,5,2
"12/27/2023 07:28AM","12/27/2023 07:30AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",106.145,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.223.50","Participant 1","2007",,"11pm","715am",2,3,3,3,4,3
"12/28/2023 10:19AM","12/28/2023 10:22AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",219.147,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.223.50","Participant 1","2007",,"1130pm","715am",4,1,4,5,4,1
"12/30/2023 08:06AM","12/30/2023 08:07AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",78.002,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.36.142","Participant 1","2007",,"12am","8am ",3,1,4,4,2,3
"01/02/2024 08:58AM","01/02/2024 08:59AM","12/12/2023 10:50AM - 12/12/2025 09:59AM",67.981,"1","1","Finished","657880e4435fd4977718bae2",,,"no","-","10.84.36.142","Participant 1","2007",,"11pm","5am",3,2,3,3,2,3
"12/13/2023 08:42AM","12/13/2023 08:44AM","12/12/2023 01:51PM - 12/12/2025 09:59AM",145.94,"1","1","Finished","6578ab77435fd4977718f9c1",,,"no","-","192.168.0.5","Participant 2",,,"11:00 pm

","7:00 am",5,1,4,3,5,1
"12/14/2023 10:21AM","12/14/2023 10:23AM","12/12/2023 01:51PM - 12/12/2025 09:59AM",101.692,"1","1","Finished","6578ab77435fd4977718f9c1",,,"no","-","192.168.1.95","Participant 2",,,"11:00 PM","7:00 AM",5,1,4,3,5,1
